Group,Tank,ID,Type,Origin,Fam,Trmt,T0.cm2.,T7,T11,T14,T18,T21,T25,T28
C1-1-2,C1,11,R,inshore,5,control,0.033,0.018,0.019,0.017,0.006,0.007,0.007,0.009
C1-1-2,C1,12,R,inshore,5,control,0.035,0.01,0.017,0.014,0.008,0.005,0.008,0.013
C1-1-2,C1,13,R,inshore,5,control,0.046,0.022,0.02,0.016,0.01,0.009,0.015,0.018
C1-1-2,C1,14,R,inshore,5,control,0.035,0.025,0.023,0.02,0.013,0.013,0.015,0.009
C1-1-2,C1,15,R,inshore,5,control,0.024,0.017,0.022,0.009,0.006,0.005,0.006,0.007
C1-1-2,C1,16,R,inshore,5,control,0.032,0.02,0.013,0.013,0.011,0.011,0.008,0.008
C1-1-2,C1,17,R,inshore,5,control,0.016,0.012,0.014,0.01,0.006,0.009,0.01,0.006
C1-1-2,C1,41,R,inshore,5,control,0.022,0.01,0.007,0.009,0.01,0.008,0.006,0.006
C1-1-2,C1,42,R,inshore,5,control,0.034,0.008,0.006,0.008,0.006,0.006,0.01,0.011
C1-1-2,C1,43,R,inshore,5,control,0.019,0.016,0.015,0.015,0.002,0.006,0.013,0.016
C1-1-2,C1,44,R,inshore,5,control,0.022,0.016,0.01,0.011,0.008,0.011,0.009,0.009
C1-1-2,C1,45,R,inshore,5,control,0.028,0.022,0.019,0.016,0.019,0.012,0.014,0.013
C1-1-2,C1,49,R,inshore,11,control,0.016,0.017,0.007,0.005,NA,NA,NA,NA
C1-1-2,C1,50,R,inshore,11,control,0.012,0.042,0.008,0.01,0.01,0.012,0.009,0.014
C1-1-2,C1,53,R,inshore,17,control,0.038,0.031,0.023,0.02,NA,NA,NA,NA
C1-1-2,C1,54,R,inshore,17,control,0.036,0.043,0.025,0.023,0.015,0.022,0.012,0.018
C1-1-2,C1,55,R,inshore,17,control,0.029,0.038,0.023,0.017,0.014,0.011,0.005,0.01
C1-1-2,C1,24,R,inshore,19,control,0.044,0.04,0.041,0.03,0.024,0.023,0.024,0.028
C1-1-2,C1,25,R,inshore,19,control,0.03,0.025,0.025,0.03,0.019,0.016,0.025,0.027
C1-1-2,C1,34,R,inshore,19,control,0.025,0.028,0.014,0.018,0.011,0.021,0.008,0.016
C1-1-2,C1,35,R,inshore,19,control,0.022,0.022,0.017,0.017,0.012,0.017,0.01,0.017
C1-1-2,C1,51,R,inshore,19,control,0.104,0.067,0.054,0.058,0.054,0.043,0.04,0.046
C1-1-2,C1,52,R,inshore,19,control,0.041,0.042,0.02,0.023,0.022,0.019,0.021,0.024
C1-1-2,C1,20,R,inshore,20,control,0.029,0.027,0.016,0.015,0.01,0.009,0.012,0.012
C1-1-2,C1,21,R,inshore,20,control,0.024,0.013,0.011,0.008,0.01,0.008,0.01,0.01
C1-1-2,C1,22,R,inshore,20,control,0.054,0.04,0.037,0.041,0.027,0.021,0.026,0.029
C1-1-2,C1,23,R,inshore,20,control,0.021,0.015,0.015,0.017,0.01,0.008,0.009,0.007
C1-1-2,C1,1,R,offshore,34,control,0.044,0.032,0.035,0.02,0.016,0.014,0.015,0.017
C1-1-2,C1,2,R,offshore,34,control,0.044,0.046,0.033,0.028,0.021,0.018,0.019,0.02
C1-1-2,C1,27,R,offshore,34,control,0.05,0.026,0.017,0.016,0.013,0.008,0.011,0.05
C1-1-2,C1,28,R,offshore,34,control,0.037,0.016,0.014,0.012,0.007,0.007,0.006,0.05
C1-1-2,C1,3,R,offshore,34,control,0.037,0.027,0.032,0.025,0.011,0.011,0.01,0.015
C1-1-2,C1,36,R,offshore,38,control,0.018,0.013,0.008,0.012,0.007,0.005,NA,NA
C1-1-2,C1,37,R,offshore,38,control,0.018,0.012,0.011,0.003,0.003,0.002,0.001,0.001
C1-1-2,C1,38,R,offshore,38,control,0.02,0.015,0.006,0.002,0.002,0.002,0.002,0.001
C1-1-2,C1,39,R,offshore,38,control,0.01,0.01,0.003,0.006,0.005,0.007,NA,NA
C1-1-2,C1,10,R,offshore,39,control,0.024,0.016,0.007,0.012,0.005,NA,NA,NA
C1-1-2,C1,30,R,offshore,39,control,0.03,0.039,0.015,0.013,0.012,0.013,0.011,0.012
C1-1-2,C1,31,R,offshore,39,control,0.03,0.026,0.012,0.016,0.014,0.01,0.013,0.012
C1-1-2,C1,32,R,offshore,39,control,0.034,0.027,0.019,0.013,0.015,0.014,0.012,0.009
C1-1-2,C1,33,R,offshore,39,control,0.017,0.014,0.009,0.009,0.008,0.008,0.004,0.01
C1-1-2,C1,8,R,offshore,39,control,0.024,0.035,0.026,0.02,0.015,0.007,0.015,0.019
C1-1-2,C1,9,R,offshore,39,control,0.03,0.022,0.009,0.008,0.005,0.006,0.002,0.005
C1-1-2,C1,4,R,offshore,46,control,0.031,0.011,0.01,0.011,0.009,0.007,0.01,0.011
C1-1-2,C1,46,R,offshore,46,control,0.025,0.036,0.021,0.014,0.009,0.014,0.006,0.005
C1-1-2,C1,47,R,offshore,46,control,0.031,0.035,0.027,0.017,0.016,0.019,0.016,0.024
C1-1-2,C1,48,R,offshore,46,control,0.041,0.037,0.021,0.016,0.014,0.009,0.011,0.011
C1-1-2,C1,5,R,offshore,46,control,0.021,0.015,0.013,0.011,0.006,0.009,0.007,0.012
C1-1-2,C1,6,R,offshore,46,control,0.063,0.06,0.058,0.055,0.035,0.026,0.032,0.031
C1-1-2,C1,7,R,offshore,46,control,0.015,0.016,0.007,0.011,0.005,0.002,0.003,0.003
C1-3-4,C1,10,R,inshore,5,control,0.085,0.039,0.022,0.023,0.012,0.009,0.01,0.009
C1-3-4,C1,11,R,inshore,5,control,0.047,0.036,0.025,0.024,0.008,0.01,0.013,0.01
C1-3-4,C1,12,R,inshore,5,control,0.058,0.049,0.023,0.026,0.008,0.015,0.017,0.018
C1-3-4,C1,13,R,inshore,11,control,0.036,0.04,0.029,0.017,0.015,0.013,0.016,0.014
C1-3-4,C1,14,R,inshore,11,control,0.018,0.01,0.015,0.007,0.005,0.005,0.006,0.005
C1-3-4,C1,17,R,inshore,11,control,0.031,0.029,0.011,0.012,0.007,0.008,0.009,0.01
C1-3-4,C1,18,R,inshore,11,control,0.046,0.022,0.004,0.009,0.006,0.006,NA,NA
C1-3-4,C1,19,R,inshore,11,control,0.025,0.025,0.013,0.016,0.007,0.007,0.005,0.002
C1-3-4,C1,20,R,inshore,11,control,0.021,0.023,NA,NA,NA,NA,NA,NA
C1-3-4,C1,1,R,inshore,17,control,0.026,0.029,0.023,0.021,0.009,0.018,0.006,0.004
C1-3-4,C1,2,R,inshore,17,control,0.021,0.032,0.026,0.026,0.018,0.014,0.006,0.007
C1-3-4,C1,3,R,inshore,17,control,0.021,0.021,0.016,0.01,0.013,0.007,0.005,0.006
